overall_volume_rank,combined_popularity_score,pos_code,pos_name,pos_category,sku_family,pos_customer_price_est,pos_price_ex_tax,current_zomato_menu_match,current_zomato_price,current_swiggy_workbook_match,current_swiggy_workbook_price,swiggy_volume_rank,swiggy_best_match,swiggy_best_match_orders,swiggy_best_match_units,swiggy_best_match_aov,swiggy_best_match_price,swiggy_cg_cuisine,swiggy_dish_family,swiggy_primary_cuisine,swiggy_item_category,swiggy_is_combo,swiggy_veg_flag,swiggy_match_confidence,zomato_ov_rank,zomato_best_match,zomato_primary_cuisine,zomato_best_match_avg_price,zomato_match_confidence,swiggy_volume_price,zomato_rank_adjusted_price,raw_volume_customer_price,suggested_volume_customer_price,price_derivation_source,price_vs_pos_customer_diff,price_vs_pos_customer_diff_pct,price_action_read,execution_mapping_gate,swiggy_top_similar_items,zomato_top_similar_items,match_notes
55,22.17,,Shezwan Mutton,Chinese Gravy,other,230,219.05,,,,,1378,bhuna mutton,4,4,465.0,465.0,North Indian,CURRY,North Indian,indian,,,MEDIUM,13,special mutton haleem,Hyderabadi,299.0,MEDIUM,400.0,299.0,363.3,359,swiggy_weighted_median_plus_zomato_rank_adjusted,129,0.5609,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"bhuna mutton @ 465 (rank 1378, score 0.67) | kadhai mutton @ 295 (rank 1254, score 0.66) | methi mutton @ 295 (rank 1706, score 0.64)","special mutton haleem @ 299 (rank 13, score 0.62) | mutton burra @ 475 (rank 47, score 0.58) | kosha mangsho (mutton) 4pcs @ 715 (rank 46, score 0.58)",Family/similar-market mapping; review before portal execution
56,22.08,HE-1227,Kadai Paneer,Vegetarian,veg_gravy,180,171.43,Kadai Paneer,180.0,Kadai Paneer,230.0,429,kadai paneer,21,22,279.52,275.0,North Indian,CURRY,North Indian,veg kadai gravys (spicy),,1.0,HIGH,13,paneer butter masala,North Indian,250.0,LOW,275.0,250.0,268.96,269,swiggy_weighted_median_plus_zomato_rank_adjusted,89,0.4944,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"kadai paneer @ 275 (rank 429, score 1.00) | kadai paneer @ 270 (rank 551, score 1.00) | kadai paneer @ 440 (rank 676, score 1.00)","paneer butter masala @ 250 (rank 13, score 0.52) | paneer biryani @ 319 (rank 3, score 0.34) | box paneer biryani @ 237 (rank 8, score 0.31)",Exact/direct
57,21.74,,Jeera rice,,rice,,0.0,Jeera rice,130.0,Jeera Rice,130.0,169,jeera rice,56,60,246.43,250.0,Biryani,OTHER RICE VARIETIES,Biryani,rice,,1.0,HIGH,35,jeera rice,North Indian,187.0,HIGH,250.0,187.0,226.06,229,swiggy_weighted_median_plus_zomato_rank_adjusted,,,NEAR_POS_VOLUME_PRICE,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"jeera rice @ 250 (rank 169, score 1.00) | jeera rice @ 173 (rank 381, score 1.00) | jeera rice @ 300 (rank 467, score 1.00)","jeera rice @ 187 (rank 35, score 1.00) | jeera rice @ 103 (rank 39, score 1.00) | ghee rice @ 159 (rank 1, score 0.60)",Exact/direct
58,21.74,,Jeera rice,Indian,rice,100,95.24,Jeera rice,130.0,Jeera Rice,130.0,169,jeera rice,56,60,246.43,250.0,Biryani,OTHER RICE VARIETIES,Biryani,rice,,1.0,HIGH,35,jeera rice,North Indian,187.0,HIGH,250.0,187.0,226.06,229,swiggy_weighted_median_plus_zomato_rank_adjusted,129,1.29,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"jeera rice @ 250 (rank 169, score 1.00) | jeera rice @ 173 (rank 381, score 1.00) | jeera rice @ 300 (rank 467, score 1.00)","jeera rice @ 187 (rank 35, score 1.00) | jeera rice @ 103 (rank 39, score 1.00) | ghee rice @ 159 (rank 1, score 0.60)",Exact/direct
59,21.62,HE-1222,Garlic Naan,Indian Breads,bread,50,47.62,Garlic Naan,50.0,Garlic Naan,65.0,52,garlic naan,157,288,110.51,70.0,Biryani,NAAN,Biryani,indian breads,,1.0,HIGH,41,garlic naan,Biryani,74.0,HIGH,70.0,74.0,71.52,69,swiggy_weighted_median_plus_zomato_rank_adjusted,19,0.38,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"garlic naan @ 70 (rank 52, score 1.00) | garlic naan @ 150 (rank 300, score 1.00) | garlic naan @ 115 (rank 314, score 1.00)","garlic naan @ 74 (rank 41, score 1.00) | garlic naan @ 89 (rank 42, score 1.00) | garlic naan @ 115 (rank 43, score 1.00)",Exact/direct
60,21.49,,Chicken Popcorn Salad,Salads & Rice,dry_starter_kabab,190,180.95,,,,,74,popcorn chicken kebab,112,114,185.04,144.0,North Indian,NUGGETS,North Indian,empire classic dry,,,MEDIUM,27,popcorn chicken kebab,North Indian,144.0,MEDIUM,144.0,256.0,186.56,189,swiggy_weighted_median_plus_zomato_rank_adjusted,-1,-0.0053,NEAR_POS_VOLUME_PRICE,USABLE_WITH_OPERATOR_REVIEW,"popcorn chicken kebab @ 144 (rank 74, score 0.67) | popcorn chicken kebab @ 144 (rank 75, score 0.67) | chicken kabab @ 360 (rank 43, score 0.60)","popcorn chicken kebab @ 144 (rank 27, score 0.67) | chicken kabab @ 256 (rank 1, score 0.60) | chicken kebab @ 202 (rank 7, score 0.60)",Family/similar-market mapping; review before portal execution
61,21.46,,Ghee Rice + Butter Chicken + 2pc Kabab,Combos,combo_rice_curry,249,237.14,Ghee Rice with Butter Chicken and Chicken Kabab,299.0,Ghee Rice + Butter Chicken + Chicken Kabab,,2970,ghee rice + butter chicken,1,1,179.0,219.0,Coastal/Seafood,CURRY,Biryani,combo meals,,,HIGH,24,ghee rice butter chicken combo,North Indian,186.0,HIGH,219.0,186.0,207.41,199,swiggy_weighted_median_plus_zomato_rank_adjusted,-50,-0.2008,MARKET_VOLUME_PRICE_BELOW_POS_CREATE_SMALLER_PORTION_OR_OFFER_PAY_PRICE,PORTION_OR_OFFER_GATE_REQUIRED,"ghee rice + butter chicken @ 219 (rank 2970, score 0.97) | ghee rice butter chicken combo @ 186 (rank 64, score 0.86) | ghee rice with butter chicken masala - combo @ 279 (rank 1411, score 0.76)","ghee rice butter chicken combo @ 186 (rank 24, score 0.86) | ghee rice butter chicken combo & chicken manchurian dry @ 249 (rank 45, score 0.72) | 2 roti + butter chicken @ 235 (rank 13, score 0.60)",Exact/direct
62,21.14,HE-1167,Singapore Chicken,Chinese Gravy,other,220,209.52,Singapore Chicken,500.0,Singapore Chicken,280.0,390,singapore chicken,23,28,450.43,370.0,North Indian,OTHER DRY STARTERS,Biryani,non veg starters,,,HIGH,28,chicken 65,Biryani,292.0,HIGH,370.0,275.0,338.69,329,swiggy_weighted_median_plus_zomato_rank_adjusted,109,0.4955,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,DIRECT_EQUIVALENT_PRICE_DIVERGENCE_REVIEW,"singapore chicken @ 370 (rank 390, score 1.00) | singapore chicken gravy @ 380 (rank 1996, score 0.98) | chicken 65 @ 375 (rank 20, score 0.80)","chicken 65 @ 292 (rank 28, score 0.80) | andhra chicken @ 280 (rank 13, score 0.65) | pepper chicken @ 270 (rank 23, score 0.65)",Exact/direct
63,20.94,HE-1184,Mutton Hyderabadi Gravy,Mutton Curry,mutton_gravy,220,209.52,Mutton Hyderabadi Gravy,230.0,Mutton Hyderabadi,280.0,2094,hyderabadi mutton,2,2,270.0,270.0,North Indian,CURRY,Biryani,non veg main course,,,HIGH,13,mutton masala,Hyderabadi,335.0,MEDIUM,270.0,335.0,289.07,289,swiggy_weighted_median_plus_zomato_rank_adjusted,69,0.3136,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"hyderabadi mutton @ 270 (rank 2094, score 0.87) | mutton nihari [half] @ 335 (rank 231, score 0.60) | mutton chatpata @ 295 (rank 1703, score 0.60)","mutton masala @ 335 (rank 13, score 0.59) | mutton nihari @ 455 (rank 40, score 0.59) | mutton biryani @ 340 (rank 3, score 0.34)",Exact/direct
64,20.61,HE-1180,Kadai Mutton,Mutton Curry,mutton_gravy,220,209.52,Kadai Mutton,230.0,Kadai Mutton,280.0,2094,hyderabadi mutton,2,2,270.0,270.0,North Indian,CURRY,Biryani,non veg main course,,,MEDIUM,13,mutton masala,Hyderabadi,335.0,MEDIUM,460.0,335.0,416.18,419,swiggy_weighted_median_plus_zomato_rank_adjusted,199,0.9045,AGGREGATOR_CAN_SUPPORT_HIGHER_PAY_PRICE_THAN_POS,HIGHER_PAY_PRICE_SUPPORTED_REVIEW_PORTION,"hyderabadi mutton @ 270 (rank 2094, score 0.67) | mutton curry @ 460 (rank 388, score 0.59) | railway mutton curry @ 595 (rank 1930, score 0.59)","mutton masala @ 335 (rank 13, score 0.59) | mutton nihari @ 455 (rank 40, score 0.59) | mutton burra @ 475 (rank 47, score 0.36)",Family/similar-market mapping; review before portal execution
